DATE,STATE,CHANNEL,Average Sale,Difference in Sale,GAME
11/21/2015,Maryland,MASS MERCHANDISER,511.1388691,146.91,Home(2015)-Away(2014)
12/19/2015,Maryland,MASS MERCHANDISER,835.5789286,-1271.96,Home(2015)-Away(2014)
10/10/2015,Maryland,CONVENIENCE STORE,399.8751389,-778.81,Home(2015)-Away(2014)
10/31/2015,Maryland,CONVENIENCE STORE,616.3995238,-4538,Home(2015)-Away(2014)
11/21/2015,Maryland,CONVENIENCE STORE,503.9125,1053.23,Home(2015)-Away(2014)
12/19/2015,Maryland,CONVENIENCE STORE,974.4996429,3133.63,Home(2015)-Away(2014)
10/10/2015,Maryland,DRUG STORE,839.1328593,13435.66,Home(2015)-Away(2014)
10/31/2015,Maryland,DRUG STORE,1892.604067,78092.42,Home(2015)-Away(2014)
11/21/2015,Maryland,DRUG STORE,754.3365903,-14066.16,Home(2015)-Away(2014)
12/19/2015,Maryland,DRUG STORE,1618.201292,-35213.95,Home(2015)-Away(2014)
10/10/2015,Maryland,GROCERY,2270.097725,52785.06,Home(2015)-Away(2014)
10/31/2015,Maryland,GROCERY,4191.124661,93354.79,Home(2015)-Away(2014)
11/21/2015,Maryland,GROCERY,1885.269706,-15196.13,Home(2015)-Away(2014)
12/19/2015,Maryland,GROCERY,2831.644754,-78529.88,Home(2015)-Away(2014)
10/10/2015,Maryland,MASS MERCHANDISER,1828.30504,-5444.96,Home(2015)-Away(2014)
10/31/2015,Maryland,MASS MERCHANDISER,4922.044443,163865.33,Home(2015)-Away(2014)
11/21/2015,Maryland,MASS MERCHANDISER,1542.265141,-33292.6,Home(2015)-Away(2014)
12/19/2015,Maryland,MASS MERCHANDISER,3896.649876,-76152.23,Home(2015)-Away(2014)
10/10/2015,Maryland,WHOLESALE CLUB,15002.49125,-18494.06,Home(2015)-Away(2014)
10/31/2015,Maryland,WHOLESALE CLUB,28513.07844,87207.24,Home(2015)-Away(2014)
11/21/2015,Maryland,WHOLESALE CLUB,11696.53,2306.56,Home(2015)-Away(2014)
12/19/2015,Maryland,WHOLESALE CLUB,19999.96266,72248.05,Home(2015)-Away(2014)
10/10/2015,Maryland,DRUG STORE,436.0391667,-62.56,Home(2015)-Away(2014)
10/31/2015,Maryland,DRUG STORE,819.8084722,2646.9,Home(2015)-Away(2014)
